コード,PER,PBR,EPS成長率,自社株買い,業種平均PER
3148,12.913164,1.4212241,6.3,,18.2721025
3167,15.053371,1.5486618,21.7,,16.103048
3182,13.201902,2.1848476,71.89999999999999,,16.157451000000002
3186,15.423064,3.16645,56.699999999999996,,16.157451000000002
3191,15.223501,1.0844907,-37.8,,16.157451000000002
3197,38.893536,3.8004835,44.6,,16.157451000000002
3201,12.948821,0.9298742,26.200000000000003,,16.157451000000002
3231,9.370022,0.96764714,-36.5,,9.660392
3288,8.112245,1.4921896,1.0,,9.660392
3289,9.660392,1.0247539,-16.5,,9.660392
3291,10.012661,0.61945,89.2,,16.157451000000002
3349,15.924497,1.7983174,7.7,,18.2721025
3360,16.49799,1.485616,3.0,,18.2721025
3382,17.08179,1.272102,23.599999999999998,,19.03057
3387,68.97482,7.105536,6.2,,16.157451000000002
3391,16.563671,1.233556,21.3,,18.2721025
3395,19.579805,1.6858071,-45.7,,16.157451000000002
3397,198.65678,3.9452322,-31.0,,16.157451000000002
3401,,0.8022997,,,16.103048
3402,24.214314,1.0252768,82.3,,16.157451000000002
3405,66.875465,0.7236205,216.29999999999998,,15.285404499999999
3407,13.819782,1.0280156,172.70000000000002,,16.103048
3431,13.151264,1.0279516,-53.300000000000004,,16.103048
3433,16.473442,2.4796066,1.4000000000000001,,16.103048
3436,,2.1649098,,,21.674925
3445,15.511778,1.7657322,12.2,,21.674925
3465,7.5954995,1.5312078,100.49999999999999,,9.660392
3498,12.68701,2.5179708,,,16.103048
3543,inf,2.6425226,14.7,,16.157451000000002
3563,45.131966,10.325622,41.699999999999996,,16.157451000000002
3569,12.780158,1.1956757,13.900000000000002,,16.157451000000002
3591,16.213326,0.98668444,-88.6,,16.157451000000002
3608,20.64804,0.75647634,6.9,,16.157451000000002
3612,9.601354,1.2621875,24.7,,16.157451000000002
3626,18.271063,2.6854763,15.1,,21.674925
3635,12.600608,1.9803221,86.9,,22.2654135
3636,7.714051,0.9969244,,,21.674925
3659,17.519466,2.179718,76.9,,22.2654135
3660,17.087767,2.1751919,86.2,,16.157451000000002
3661,19.689367,6.789549,-22.5,,22.2654135
3668,158.39696,0.7951532,,,22.2654135
3673,44.758064,3.199331,109.3,,21.674925
3697,28.339565,6.0447593,,,21.674925
3762,18.084112,3.5537896,23.799999999999997,,21.674925
3765,53.807106,1.1034325,105.80000000000001,,22.2654135
3769,30.054016,5.709175,20.9,,21.674925
3774,24.899511,3.820695,16.400000000000002,,22.2654135
3778,700.3578,5.0942802,,,21.674925
3844,13.083568,2.2272048,,,21.674925
3861,13.989849,0.66922456,,,15.285404499999999
3863,13.30776,0.302784,,,15.285404499999999
3865,20.720512,0.5741524,-25.3,,15.285404499999999
3880,17.951582,0.649918,,,15.285404499999999
3923,29.395008,10.004339,313.7,,21.674925
3941,18.194708,0.74839526,92.9,,16.157451000000002
3962,9.741172,1.4450028,-79.10000000000001,,21.674925
3993,38.329517,2.6190743,26.400000000000002,,21.674925
3994,73.057846,7.1514,,,21.674925
4004,54.45765,3.6664329,204.3,,15.285404499999999
4005,13.780947,0.7668107,,,15.285404499999999
4008,12.757447,0.9162116,212.2,,15.285404499999999
4021,21.07521,4.124463,21.3,,15.285404499999999
4023,,0.9972389,108.1,,15.285404499999999
4028,6.8732314,0.89643884,-78.60000000000001,,15.285404499999999
4041,11.644833,0.99454874,2.0,,15.285404499999999
4042,19.592453,0.9501459,198.0,,15.285404499999999
4043,12.906882,0.999014,,,15.285404499999999
4044,13.189875,0.8636789,368.29999999999995,,15.285404499999999
4045,14.98604,0.8790677,-12.7,,15.285404499999999
4046,15.799241,1.8207009,62.4,,15.285404499999999
4047,36.0224,1.7936301,509.2,,15.285404499999999
4061,18.150873,0.919955,,,15.285404499999999
4062,91.69341,9.667836,40.8,,21.674925
4063,24.090189,2.4844356,3.5000000000000004,,15.285404499999999
4071,23.601025,5.4314165,3.6999999999999997,,21.674925
4078,24.300488,0.7110388,56.00000000000001,,15.285404499999999
4091,19.999302,1.953179,54.0,,15.285404499999999
4095,14.540642,0.9024874,30.599999999999998,,15.285404499999999
4109,20.647257,1.3654642,32.1,,15.285404499999999
4114,23.152359,0.95539194,134.1,,15.285404499999999
4118,12.189747,0.72476447,109.80000000000001,,15.285404499999999
4151,16.665594,1.4798919,83.0,,18.2721025
4180,38.794155,3.2564797,138.1,,21.674925
4182,,1.1223605,118.10000000000001,,15.285404499999999
4183,22.707947,0.88669914,4302.3,,15.285404499999999
4186,26.229704,2.5640607,7.000000000000001,,21.674925
4187,11.771737,1.6957483,64.2,,15.285404499999999
4188,,0.8444062,194.0,,15.285404499999999
4189,12.300264,1.505733,81.6,,15.285404499999999
4194,20.994797,4.438239,-3.8,,22.2654135
4202,36.6727,0.9848192,-2.7,,15.285404499999999
4203,22.653955,1.7687767,,,15.285404499999999
4204,14.149292,1.2264372,-2.7,,16.103048
4205,12.672922,1.1446718,69.3,,15.285404499999999
4206,14.6443205,1.3192194,5.7,,16.103048
4208,14.396712,0.78286606,-3.9,,15.285404499999999
4212,21.115538,0.82541215,292.7,,16.103048
4216,32.935993,1.3378484,18.9,,16.103048
4272,12.735908,1.0691243,,,15.285404499999999
4290,15.478224,1.8544286,15.9,,16.103048
4307,182.70677,7.2842927,12.4,,21.674925
4324,,2.1238315,,,22.2654135
4368,23.227476,2.7050295,115.39999999999999,,15.285404499999999
4369,18.467249,2.7712977,53.6,,15.285404499999999
4373,24.872871,5.065674,4.2,,21.674925
4385,22.73924,5.725554,11.0,,16.157451000000002
4401,16.240055,1.3649095,47.8,,15.285404499999999
4403,15.33579,2.0737777,-12.1,,15.285404499999999
4432,17.30419,2.4618356,6.3,,21.674925
4443,125.40273,12.152069,,,21.674925
4452,21.233921,2.8150208,29.4,,19.03057
4471,8.641417,0.8324135,-48.0,,15.285404499999999
4480,48.425987,6.6558957,115.9,,18.2721025
4483,33.199883,2.6788611,17.1,,18.2721025
4502,,1.2062541,-8.9,,18.2721025
4503,14.408138,2.1569488,107.3,,18.2721025
4506,5.021379,1.4828486,51.7,,18.2721025
4507,11.86701,1.3728025,148.2,,18.2721025
4516,8.219426,0.82730764,22.5,,18.2721025
4519,24.056602,5.586683,19.7,,18.2721025
4521,70.89685,0.9907879,3014.0,,18.2721025
4523,35.389233,1.5040333,26.0,,18.2721025
4527,19.322174,2.0999768,-9.5,,19.03057
4528,16.579054,1.3335602,36.7,,18.2721025
4536,16.523153,2.0115635,22.400000000000002,,18.2721025
4540,9.889964,0.84863657,47.9,,18.2721025
4543,26.860807,2.1939828,68.30000000000001,,18.2721025
4544,29.481579,1.4696801,,,18.2721025
4547,12.331162,0.740236,4.5,,18.2721025
4549,20.473003,1.7386203,-25.8,,18.2721025
4552,29.579832,1.4909527,,,18.2721025
4553,35.362072,1.0157168,120.10000000000001,,18.2721025
4559,11.04448,0.864142,-20.599999999999998,,18.2721025
4565,,1.6455346,,,18.2721025
4568,19.437323,2.9175932,-19.7,,18.2721025
4569,19.153193,0.47044814,-60.8,,18.2721025
4578,15.693549,1.9549954,32.5,,18.2721025
4587,,7.746968,,,18.2721025
4612,18.516754,1.3509333,,,15.285404499999999
4613,19.248146,1.6835822,-23.599999999999998,,15.285404499999999
4617,15.778781,1.7918786,50.7,,15.285404499999999
4626,28.85059,4.188144,62.0,,15.285404499999999
4631,8.751949,0.9689778,157.29999999999998,,15.285404499999999
4633,10.559284,1.0037509,6.6000000000000005,,15.285404499999999
4634,12.243757,6.2770877,39.2,,15.285404499999999
4661,38.981567,4.211709,50.3,,16.157451000000002
4665,23.37689,1.3742181,53.800000000000004,,16.103048
4666,9.036475,3.0510294,,,16.103048
4676,126.68898,1.0996747,848.7,,22.2654135
4680,20.930233,4.0537558,-1.0999999999999999,,16.157451000000002
4681,18.57868,2.385633,79.10000000000001,,16.157451000000002
4684,26.833673,4.0280266,16.3,,21.674925
4686,16.884995,2.0886898,7.3999999999999995,,21.674925
4689,17.757816,1.1281586,19.2,,16.157451000000002
4694,17.618439,1.057176,6.3,,18.2721025
4704,20.813406,6.123606,-36.9,,21.674925
4722,17.612326,3.2670224,9.1,,21.674925
4732,22.297602,4.7914085,7.000000000000001,,16.157451000000002
4733,33.727394,3.6235373,19.7,,21.674925
4751,15.848798,3.0874832,5.6000000000000005,,22.2654135
4755,,1.8049321,,,16.157451000000002
4768,19.4172,3.1386054,3.4000000000000004,,21.674925
4776,17.552393,7.569656,,,21.674925
4812,30.092335,5.0092683,18.6,,21.674925
4819,83.97529,1.4596484,,,21.674925
4825,23.938898,3.8194993,7.7,,22.2654135
4849,23.449968,1.6693689,347.90000000000003,,16.103048
4887,16.16923,1.045951,-50.3,,18.2721025
4901,13.677971,0.9623786,-30.4,,16.103048
4902,9.5690975,0.55855584,6.800000000000001,,16.103048
4911,,2.198939,264.59999999999997,,19.03057
4912,17.72164,1.534176,18.9,,19.03057
4914,12.952732,0.78502816,14.499999999999998,,15.285404499999999
4919,18.744833,2.0568626,,,19.03057
4922,23.975683,1.1488719,191.4,,19.03057
4927,27.259447,1.91443,22.3,,19.03057
4928,20.166723,3.2069972,,,19.03057
4958,18.691069,1.0073167,27.900000000000002,,15.285404499999999
4967,251.95454,1.9651241,-64.1,,19.03057
4971,20.69988,9.17348,-18.0,,15.285404499999999
4975,14.433328,2.317729,2.5,,15.285404499999999
4980,17.836605,4.290184,12.1,,21.674925
4985,22.808756,1.3080146,-7.7,,19.03057
4996,13.499737,0.60025275,111.60000000000001,,15.285404499999999
5016,31.543982,5.17941,181.29999999999998,,21.674925
5019,9.526864,0.97324556,4048.5,,10.00143825
5020,13.30347,0.90820706,,,10.00143825
5021,9.195454,0.97725266,,,10.00143825
5032,11.976774,6.1456227,-41.5,,22.2654135
5076,10.268375,1.0182729,840.4999999999999,,16.103048
5101,8.045189,1.0212314,34.4,,16.157451000000002
5105,9.364039,1.0169233,-25.8,,16.157451000000002
5108,20.34182,1.3201679,188.0,,16.157451000000002
5110,9.536258,0.78183913,60.0,,16.157451000000002
5192,16.59893,1.1957457,27.800000000000004,,16.103048
5201,13.167934,0.78196484,74.5,,16.103048
5202,15.763708,0.45543396,,,16.157451000000002
5208,17.03231,1.6913112,25.1,,21.674925
5214,14.010086,0.709279,,,21.674925
5232,15.812943,0.89930093,,,15.285404499999999
5233,17.819523,0.65631616,22.3,,15.285404499999999
5262,15.524861,1.0604805,31.2,,16.103048
5301,19.498762,1.0920191,3.0,,15.285404499999999
5302,13.916022,0.9749858,,,15.285404499999999
5310,31.995483,1.4617302,-24.0,,16.103048
5331,14.098335,1.0993016,58.599999999999994,,16.103048
5332,25.420868,1.895524,9.5,,16.103048
5333,26.757965,1.9150935,64.1,,16.103048
5334,15.581571,2.04817,304.7,,16.157451000000002
5344,36.145054,4.4850826,15.2,,21.674925
5351,3.5259328,0.8346637,166.3,,16.103048
5384,30.435852,3.2373629,81.0,,21.674925
5393,19.904526,2.5534232,25.3,,16.103048
5401,207.9448,0.6286037,,,15.285404499999999
5406,8.364171,0.6247683,,,15.285404499999999
5410,5.47664,0.31170237,-77.2,,15.285404499999999
